country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,D,Current prices,2002,AUD,Millions,20328.0,NPI,14636.16,1
AUS,F,Current prices,2002,AUD,Millions,48916.0,NPI,35219.52,3
AUS,G,Current prices,2002,AUD,Millions,79086.0,NPI,56941.92,2
AUS,H,Current prices,2002,AUD,Millions,37170.0,NPI,26762.399999999998,5
AUS,I,Current prices,2002,AUD,Millions,18800.0,NPI,13536.0,2
AUS,J,Current prices,2002,AUD,Millions,29108.0,NPI,20957.76,2
AUS,K,Current prices,2002,AUD,Millions,58694.0,NPI,42259.68,3
AUS,L,Current prices,2002,AUD,Millions,80318.0,NPI,57828.96,1
AUS,M,Current prices,2002,AUD,Millions,42048.0,NPI,30274.559999999998,7
AUS,N,Current prices,2002,AUD,Millions,22493.0,NPI,16194.96,6
AUS,O,Current prices,2002,AUD,Millions,44754.0,NPI,32222.879999999997,1
AUS,P,Current prices,2002,AUD,Millions,36255.0,NPI,26103.6,1
AUS,Q,Current prices,2002,AUD,Millions,43096.0,NPI,31029.12,3
AUS,R,Current prices,2002,AUD,Millions,7865.0,NPI,5662.8,4
AUS,S,Current prices,2002,AUD,Millions,16374.0,NPI,11789.279999999999,3
AUS,46,Current prices,2002,AUD,Millions,39884.0,NPI,28716.48,1
AUS,47,Current prices,2002,AUD,Millions,39202.0,NPI,28225.44,1
AUS,68A,Current prices,2002,AUD,Millions,59955.0,NPI,43167.6,1
