national_facility_and_generic_sector_id,generic_sector_code,sector
55671,24,4.720494698936228
22927,24,4.720494698936228
25268,24,4.720494698936228
21102,24,4.720494698936228
37799,24,4.720494698936228
34418,24,4.720494698936228
56898,24,4.720494698936228
51994,24,4.720494698936228
55484,24,4.720494698936228
41396,24,4.720494698936228
56961,24,4.720494698936228
21251,25,4.384000622327908
17392,25,4.384000622327908
43072,25,4.384000622327908
44572,25,4.384000622327908
48295,25,4.384000622327908
27443,25,4.384000622327908
9045,28,4.687371624275464
11381,28,4.687371624275464
49382,28,4.687371624275464
54395,28,4.687371624275464
58929,26,4.029764486677171
60461,26,4.029764486677171
10506,26,4.029764486677171
19275,26,4.029764486677171
62580,26,4.029764486677171
15667,27,4.33176213250464
37533,27,4.33176213250464
6658,27,4.33176213250464
16527,27,4.33176213250464
34032,27,4.33176213250464
26265,29,4.088547011141102
58365,29,4.088547011141102
23417,28,4.687371624275464
25440,27,4.33176213250464
30611,25,4.384000622327908
46345,28,4.687371624275464
23216,28,4.687371624275464
29742,28,4.687371624275464
54678,28,4.687371624275464
35388,28,4.687371624275464
48172,28,4.687371624275464
18481,16,3.99355315824414
55611,71,4.410051607419319
42047,84,4.666321565126627
28157,35,4.886985793447717
6985,17,3.747436557932603
8884,24,4.720494698936228
13285,24,4.720494698936228
56625,24,4.720494698936228
40593,24,4.720494698936228
56984,24,4.720494698936228
27441,24,4.720494698936228
37741,24,4.720494698936228
15231,24,4.720494698936228
32648,24,4.720494698936228
61198,24,4.720494698936228
61258,24,4.720494698936228
50834,25,4.384000622327908
41487,25,4.384000622327908
17561,25,4.384000622327908
13293,25,4.384000622327908
56768,25,4.384000622327908
38649,25,4.384000622327908
27366,28,4.687371624275464
48658,24,4.720494698936228
35103,28,4.687371624275464
15600,24,4.720494698936228
50363,25,4.384000622327908
27304,25,4.384000622327908
32997,25,4.384000622327908
59708,25,4.384000622327908
14093,25,4.384000622327908
29268,25,4.384000622327908
50007,25,4.384000622327908
52756,28,4.687371624275464
14225,28,4.687371624275464
60382,25,4.384000622327908
27774,28,4.687371624275464
21584,28,4.687371624275464
39792,28,4.687371624275464
45582,26,4.029764486677171
25432,26,4.029764486677171
48696,27,4.33176213250464
